Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Business address,Number of patrons,x coordinate,y coordinate,Location
2009,67,108581,108581,226-236 Russell Street MELBOURNE 3000,Melbourne (CBD),234A Russell Street MELBOURNE 3000,170,144.9676,-37.8110,POINT (144.9676 -37.811)
2009,71,105318,105318,277-287 King Street MELBOURNE 3000,Melbourne (CBD),277-287 King Street MELBOURNE 3000,116,144.9542,-37.8137,POINT (144.9542 -37.8137)
2009,72,110106,110106,263-267 William Street MELBOURNE 3000,Melbourne (CBD),263-267 William Street MELBOURNE 3000,300,144.9566,-37.8129,POINT (144.9566 -37.8129)
2009,74,104662,104662,106-112 Hardware Street MELBOURNE 3000,Melbourne (CBD),"Unit 1, 106-112 Hardware Street MELBOURNE 3000",200,144.9607,-37.8121,POINT (144.9607 -37.8121)
2009,74,106017,106017,391-393 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),"Level 1, 391 Little Lonsdale Street MELBOURNE 3000",175,144.9603,-37.8119,POINT (144.9603 -37.8119)
2009,74,106018,106018,395-397 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),"Ground , 397 Little Lonsdale Street MELBOURNE 3000",158,144.9602,-37.8119,POINT (144.9602 -37.8119)
2009,74,108103,108103,244-250 Queen Street MELBOURNE 3000,Melbourne (CBD),"Basement , 420 Queen Street MELBOURNE 3000",200,144.9600,-37.8127,POINT (144.96 -37.8127)
2009,76,589841,105749,221 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),243 Little Lonsdale Street MELBOURNE 3000,100,144.9657,-37.8107,POINT (144.9657 -37.8107)
2009,76,589841,105749,221 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),1-7 Little Lonsdale Street MELBOURNE 3000,775,144.9657,-37.8107,POINT (144.9657 -37.8107)
2009,76,589841,105749,221 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),249 Little Lonsdale Street MELBOURNE 3000,360,144.9657,-37.8107,POINT (144.9657 -37.8107)
2009,76,589841,105749,221 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),245-247 Little Lonsdale Street MELBOURNE 3000,370,144.9657,-37.8107,POINT (144.9657 -37.8107)
2009,77,108573,108573,270 Russell Street MELBOURNE 3000,Melbourne (CBD),"Ground , 270 Russell Street MELBOURNE 3000",90,144.9672,-37.8101,POINT (144.9672 -37.8101)
2009,78,103618,103618,242-284 Exhibition Street MELBOURNE 3000,Melbourne (CBD),"Shop 1, 242-284 Exhibition Street MELBOURNE 3000",400,144.9700,-37.8094,POINT (144.97 -37.8094)
2009,78,108991,108991,267-271 Spring Street MELBOURNE 3000,Melbourne (CBD),Part 267-271 Spring Street MELBOURNE 3000,200,144.9714,-37.8086,POINT (144.9714 -37.8086)
2009,84,103207,103207,315-321 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),315-321 Elizabeth Street MELBOURNE 3000,250,144.9615,-37.8112,POINT (144.9615 -37.8112)
2009,84,105449,105449,293-299 La Trobe Street MELBOURNE 3000,Melbourne (CBD),293-299 La Trobe Street MELBOURNE 3000,200,144.9605,-37.8108,POINT (144.9605 -37.8108)
2009,85,102596,102596,22 Drewery Place MELBOURNE 3000,Melbourne (CBD),9 Drewery Place MELBOURNE 3000,80,144.9638,-37.8113,POINT (144.9638 -37.8113)
2009,85,102597,102597,2-20 Drewery Place MELBOURNE 3000,Melbourne (CBD),"Gnd & Bmt , 9-13 Drewery Place MELBOURNE 3000",303,144.9640,-37.8113,POINT (144.964 -37.8113)
2009,85,105746,105746,183-265 La Trobe Street MELBOURNE 3000,Melbourne (CBD),"Shop 307, Level 3, 300 La Trobe Street MELBOURNE 3000",200,144.9628,-37.8109,POINT (144.9628 -37.8109)
2009,85,105746,105746,183-265 La Trobe Street MELBOURNE 3000,Melbourne (CBD),300 La Trobe Street MELBOURNE 3000,300,144.9628,-37.8109,POINT (144.9628 -37.8109)
2009,85,105746,105746,183-265 La Trobe Street MELBOURNE 3000,Melbourne (CBD),"Shop 301, Level 3, 300-265 La Trobe Street MELBOURNE 3000",500,144.9628,-37.8109,POINT (144.9628 -37.8109)
2009,85,105746,105746,183-265 La Trobe Street MELBOURNE 3000,Melbourne (CBD),"Shop 303, Level 3, 300 La Trobe Street MELBOURNE 3000",550,144.9628,-37.8109,POINT (144.9628 -37.8109)
2009,85,105746,105746,183-265 La Trobe Street MELBOURNE 3000,Melbourne (CBD),"Shop 305, Level 3, 300 La Trobe Street MELBOURNE 3000",760,144.9628,-37.8109,POINT (144.9628 -37.8109)
2009,85,105746,105746,183-265 La Trobe Street MELBOURNE 3000,Melbourne (CBD),"Shop 8, Ground , 300-265 La Trobe Street MELBOURNE 3000",80,144.9628,-37.8109,POINT (144.9628 -37.8109)
2009,85,109304,109304,301-303 Swanston Street MELBOURNE 3000,Melbourne (CBD),"Floor 1, 301 Swanston Street MELBOURNE 3000",140,144.9642,-37.8111,POINT (144.9642 -37.8111)
2009,87,101023,101023,25 Bennetts Lane MELBOURNE 3000,Melbourne (CBD),25 Bennetts Lane MELBOURNE 3000,300,144.9676,-37.8089,POINT (144.9676 -37.8089)
2009,87,106057,106057,106 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),106 Little Lonsdale Street MELBOURNE 3000,60,144.9686,-37.8092,POINT (144.9686 -37.8092)
2009,87,108567,108567,300 Russell Street MELBOURNE 3000,Melbourne (CBD),"Ground , 300 Russell Street MELBOURNE 3000",80,144.9669,-37.8095,POINT (144.9669 -37.8095)
2009,87,108568,108568,296-298 Russell Street MELBOURNE 3000,Melbourne (CBD),296-298 Russell Street MELBOURNE 3000,120,144.9669,-37.8096,POINT (144.9669 -37.8096)
2009,95,109314,109314,401-405 Swanston Street MELBOURNE 3000,Melbourne (CBD),"Floor 2, 401-405 Swanston Street MELBOURNE 3000",420,144.9632,-37.8090,POINT (144.9632 -37.809)
2009,95,109314,109314,401-405 Swanston Street MELBOURNE 3000,Melbourne (CBD),"Floor 1, 401-405 Swanston Street MELBOURNE 3000",110,144.9632,-37.8090,POINT (144.9632 -37.809)
2009,95,109315,109315,407-409 Swanston Street MELBOURNE 3000,Melbourne (CBD),"Unit 1, Basement , 407 Swanston Street MELBOURNE 3000",92,144.9632,-37.8090,POINT (144.9632 -37.809)
2009,97,105493,105493,52 La Trobe Street MELBOURNE 3000,Melbourne (CBD),"Ground , 52 La Trobe Street MELBOURNE 3000",30,144.9672,-37.8083,POINT (144.9672 -37.8083)
2009,103,100160,100160,196-200 A'Beckett Street MELBOURNE 3000,Melbourne (CBD),196-200 A'Beckett Street MELBOURNE 3000,200,144.9574,-37.8100,POINT (144.9574 -37.81)
2009,104,103219,103219,413-417 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),"Level 1, 413-417 Elizabeth Street MELBOURNE 3000",230,144.9605,-37.8092,POINT (144.9605 -37.8092)
